ZIP5,CBSA CODE
04841,40500
04901,12300
04928,12620
15201,38300
25669,26580
25699,16620
36003,33860
36005,45980
36005,21640
36006,13820
36009,21460
36013,46260
36016,20020
36026,10760
36027,17980
46401,16980
46501,38500
46502,47700
46506,43780
46507,21140
46532,33140
46543,28340
46562,23060
67201,48620
67301,17700
67330,37660
77611,13140
77617,26420
88001,29740
88001,10460
88022,43500
88029,19700
88101,17580
88101,38780
88114,26020
88116,40740
98401,42660
98501,36500
98502,43220
98520,10140
98522,16500
98581,31020
01901,14460
02048,39300
12301,10580
12401,28740
22701,19020
22712,47900
22801,25500
22812,44420
33101,33100
43502,45780
43506,19580
43516,22300
53901,31540
53901,12660
53916,13180
53919,22540
54002,33460
54005,32860
64401,41140
64423,32340
64429,28140
74701,20460
74743,22900
74801,43060
74820,10220
74824,36420
74824,44660
74859,46140
85201,38060
85235,37740
95501,21700
95531,18860
95542,46380
95602,40900
95602,46020
95612,46700
95626,49700
95632,44700
12501,39100
12502,26460
12531,35620
22901,16820
22922,31340
22942,40060
23001,47260
33438,38940
33440,17500
43701,49780
43713,48540
43721,18140
43722,15740
43728,11900
43749,35420
43749,18740
43787,37620
43822,34540
54101,24580
54102,31940
54103,27020
54106,11540
54110,31820
74931,45140
75001,19100
75020,43300
85321,46060
85324,39140
85333,49740
85360,29420
12801,24020
12816,13540
33503,45300
33513,45540
33547,29460
33598,42260
43901,48260
43903,15940
43920,20620
44001,17460
44003,11780
44022,24820
44023,10420
44062,49660
44089,41780
54401,48140
54404,32270
54406,44620
54411,32980
54433,20740
64726,47660
64748,27900
64831,22220
75102,18620
75103,46340
75124,11980
75148,37300
85530,40940
85602,43420
85611,35700
95901,17020
95963,39780
96001,39820
96006,45000
96044,32780
02532,12700
12901,38460
12913,31660
12914,36300
13020,45060
13021,12180
13032,46540
13040,18660
13045,27060
13065,42900
13083,48060
33825,42700
33825,48100
33848,36740
33865,11580
44203,49300
44235,11740
54601,29100
65001,27620
65010,17860
65020,30060
65041,41180
65078,42740
75411,37580
75413,14300
75420,44860
75451,30980
75455,34420
13143,40380
33901,15980
33917,39460
54820,20260
65230,33620
65231,33020
75501,45500
75601,32220
75654,27380
85931,22380
03031,31700
03046,18180
13315,36580
13317,11220
13329,24100
34101,34940
34141,28580
54901,36780
55009,39860
55018,22060
55021,36940
55027,40340
65320,32180
65401,40620
65436,22780
65463,44180
75760,34860
75852,26660
65548,48460
75901,31260
96701,26180
96703,28180
96704,25900
96708,27980
03215,30100
03217,29060
03244,17200
13730,13780
24001,40220
24023,13980
24054,32300
24054,19260
24093,14140
34420,36100
34423,26140
44802,45660
44805,31900
44807,35940
44811,23380
44818,15340
44833,32020
55312,26780
55320,41060
55332,31860
55333,35580
55342,48820
65605,14700
76033,24180
76066,33420
03431,28300
03570,13620
24201,28700
45001,17140
45003,19380
45068,48940
45123,47860
45123,17060
76228,48660
76233,23620
76360,46900
97001,17180
97002,41420
97002,38900
97014,26220
97016,11820
14001,15380
14001,12860
14009,36460
14048,27460
34951,42680
34972,36380
45302,43380
45306,47540
45310,16380
45312,46500
45314,44220
45334,13340
55785,14660
66002,11860
66002,45820
66006,29940
76401,44500
76432,15220
76437,10180
76501,28660
76511,12420
76524,47380
76556,17780
97321,10540
97321,18700
97324,21660
03901,38860
35006,46220
35014,45180
35016,10700
35016,18980
35016,19460
35096,11500
35121,23460
35188,42820
55909,12380
55910,49100
55912,10660
87001,10740
87005,24380
87010,42140
87012,21580
87037,22140
87045,23700
97401,40700
97406,15060
97407,18300
97425,28900
97497,24420
14418,18500
45613,39020
45614,38580
56010,21860
56110,49380
56113,32140
56136,15100
56144,43620
66401,31740
66413,21380
66518,13100
76856,23240
76861,41660
76943,19620
97635,37820
97701,13460
97701,39260
04210,30340
25002,36060
25007,13220
35582,22520
45801,30620
45832,46780
56308,10820
56309,22260
66701,38260
87512,45340
87535,29780
87544,31060
97814,29260
97901,36620
14805,21300
35610,26620
35740,42460
35765,22840
46001,11300
46001,34620
46030,26900
46031,29020
46035,23140
46035,18820
46036,31980
46041,29140
46056,35220
46120,14020
46124,18020
46127,18220
46156,24700
56514,22020
56514,47420
56517,24220
98061,14740
98068,21260
25401,25180
25431,49020
56601,13420
67005,49060
67020,26740
67062,32700
77404,13060
77420,20900
77426,14780
77465,47020
98220,13380
98221,34580
98236,36020
98305,38820
06901,14860
17301,23900
17301,49620
17307,25420
27701,20500
27703,39580
27801,40580
27803,48980
27806,47820
27811,24780
27820,40260
27830,24140
38101,32820
38201,37540
38201,32280
38220,26480
38232,46460
38240,20540
48501,22420
48601,40980
48601,13020
48612,33220
48614,10940
48616,37020
48617,34380
48632,13660
59001,13740
59086,14580
69334,42420
79701,33260
79707,36220
79713,29500
79713,13700
79714,11380
79718,37780
79821,21340
90101,31100
90265,37100
17501,29540
17517,30140
17527,37980
17555,39740
27906,21020
27915,28620
28001,10620
28006,16740
28006,30740
28010,44380
28017,43140
28018,22580
28023,41580
28037,25860
38301,27180
38357,18420
38401,17940
38401,34980
38401,30280
38456,29980
48727,19820
48762,10980
48805,29620
48809,24340
48813,12980
48827,27100
80001,19740
80020,14500
80020,24540
17701,48700
17701,30820
17724,42380
17730,44980
17756,14100
17810,30260
17812,42780
17814,42540
17823,39060
17841,30380
28127,45640
28127,24660
38501,18260
38550,32660
38555,18900
38601,37060
38614,17260
38614,17380
38652,46180
49001,28020
49010,10880
49011,17740
49011,44780
49022,35660
59401,24500
59410,25740
80106,17820
18001,10900
18014,20700
28301,22180
28303,31300
28315,43860
28323,20380
28326,41820
28330,40460
28343,29900
28401,48900
28439,34820
28445,27340
38701,24740
38732,26940
38736,24900
38851,48500
49220,10300
49228,33780
49229,11460
59501,25660
70001,35380
70030,26380
80423,20780
80424,43540
28501,28820
28501,35100
28511,33980
28604,14380
28606,35900
28621,34340
28621,49180
38901,24980
39039,49540
39041,27140
39083,15020
49303,34740
49315,26100
59701,15580
59801,33540
59845,28060
80503,22660
80649,22820
05060,12740
15411,43740
15531,27780
36274,46740
46702,26540
46702,47340
46703,11420
46705,12140
46711,19540
57001,43580
57004,46820
57031,49460
67401,41460
67427,24460
67548,25700
67563,19980
88210,16100
88301,40760
05253,40860
15618,26860
15721,20180
36502,19300
36505,33660
46901,37940
46901,30900
57201,47980
57301,33580
57312,26700
78002,41700
78003,28500
78040,29700
78102,13300
98801,48300
98823,34180
98901,49420
98930,28420
05401,15540
15821,41260
15870,14620
15946,11020
26238,17220
26287,34060
47023,35860
47043,31500
47102,42500
47102,42980
47104,31140
47108,13260
57401,10100
57501,38180
67835,23780
67859,30580
78330,18580
78332,10860
78338,28780
78360,40100
99001,44060
99004,39420
99128,34140
16037,35260
16038,36340
26437,21900
36801,12220
36855,29300
57626,39660
68002,36540
68003,30700
68019,23340
16110,32740
37010,17300
37018,46100
37018,43180
47324,39980
47427,45460
47432,27540
47449,47780
57717,43940
78501,32580
78520,15180
78561,39700
88901,29820
89003,37220
89061,13860
99323,47460
99347,30300
06001,25540
06018,45860
06076,48740
16312,47620
16401,21500
26710,19060
37110,16860
47512,47180
47523,21780
68333,25580
78801,46620
78852,20580
99501,11260
99550,28980
06231,35980
16611,26500
16666,44300
27043,15500
37303,11940
37307,17420
37324,35460
68601,18100
68628,24260
68629,35740
79001,25820
79002,37420
79007,14420
79010,11100
79013,20300
79021,38380
89316,21220
89402,39900
89403,22280
89406,21980
89410,23820
99701,21820
99801,27940
06401,35300
37601,27740
37616,24620
58368,33500
58401,27420
58444,13900
68812,28260
68833,35820
68834,30420
79235,31180
99901,28540
17021,16540
37701,28940
37708,34100
37714,29220
37722,42940
37748,25340
37821,11700
58601,19860
79313,30220
89701,16180
27507,25780
38006,15140
58755,48780
79506,45020
79512,43660
30802,12260
30820,33300
62075,45380
62082,27300
72401,27860
72401,37500
72419,14180
72501,12900
72519,34260
72568,42620
82801,43260
82831,23940
82901,40540
82930,21740
82930,41620
93201,47300
93202,25260
93203,12540
93204,23420
93210,41940
93252,42020
93252,42060
20606,30500
20701,12580
31002,20140
31004,31420
31005,47580
31008,22980
31010,18380
31016,45580
31016,12060
31058,11140
31079,22340
62272,16060
62301,39500
62326,31380
62330,15460
72601,25460
72645,40780
83001,27220
83120,26820
93426,41500
93516,40140
01601,49340
32815,37340
74401,34780
74425,32540
95230,38020
95230,33700
95301,32900
95377,41860
53801,38420
74601,38620
74630,21420
95401,42220
95422,17340
95476,34900
08037,12100
28708,14820
28782,24860
39120,35020
39156,46980
39168,29860
49601,15620
49610,45900
60033,40420
70301,38200
70339,29180
70340,34020
70346,12940
70401,25220
70426,14220
80722,44540
08202,36140
08270,47220
29001,44940
29002,17900
29014,16900
29018,36700
29018,16700
29031,46420
29036,35140
29058,29580
29069,22500
29081,47500
39301,32940
39401,25620
39426,38100
39426,25060
39452,37700
49710,42300
49801,32100
49805,26340
49807,21540
60113,40300
70510,10020
70512,36660
70513,35340
70515,18940
70532,27660
70542,29340
70633,19760
70634,22860
70656,10780
80926,15860
81001,39380
29138,24940
39629,32620
50001,19780
50005,32260
50010,11180
50014,14340
50027,36820
50028,35500
50044,37800
60401,28100
60420,38700
60437,36860
81122,20420
81220,33940
08501,45940
29301,43900
29307,23500
29440,23860
39701,18060
39701,44260
39813,10500
39815,12460
50148,47940
50217,22700
60518,19940
71001,40820
71002,35060
71004,43340
71018,33380
29512,13500
29525,19900
81501,24300
91901,41740
29611,11340
29643,42860
40003,23180
40009,15820
40051,21060
50401,32380
50510,44740
50515,43980
60917,16580
60932,19180
60936,14060
71201,33740
71220,12820
71232,45260
92004,20940
29901,25940
40311,30460
40311,34460
40328,19220
40385,40080
50651,16300
61007,23300
61014,44580
30103,15660
30103,40660
30104,16340
30105,44900
40409,43700
61201,19340
61321,37900
71601,38220
71601,30780
71701,15780
71721,11660
71722,26260
71724,20980
71740,31620
82001,16940
82051,29660
19901,20100
19930,42580
19973,15700
40701,30940
40701,18340
40763,33180
61401,23660
61411,15900
71901,26300
82301,40180
30410,47080
30415,44340
30427,25980
30446,42340
30501,23580
30510,18460
30511,45740
30530,12020
30540,19140
51331,44020
61721,30660
61749,19500
72021,22620
72069,48340
41034,32500
61910,16660
82601,16220
31501,48180
31503,15260
31512,20060
31518,27700
31537,41220
52201,26980
52201,34700
52207,17540
52237,20220
62601,44100
73006,30020
73052,20340
83402,13940
83420,39940
31601,46660
31626,45620
31637,34220
31637,45700
42001,37140
42003,32460
42020,34660
42101,14540
42123,23980
52501,36900
52537,28860
62801,16460
62801,34500
62838,20820
62841,32060
62869,25380
62914,16020
83601,34300
83602,14260
00601,10260
00602,10380
00611,46580
00612,41980
00622,41900
00624,49500
00660,32420
00664,27580
00704,25020
00715,38660
00735,21940
00757,42180
00769,17620
42220,16420
42301,36980
52619,22800
63020,22100
73401,11620
73521,11060
83801,17660
21601,20660
32003,27260
32007,37260
32008,23540
32024,29380
32080,37380
32102,19660
42408,31580
63352,25300
73627,21120
84003,39340
84008,46860
84010,36260
84032,25720
01001,44140
01008,38340
21801,41540
21804,36180
32301,45220
53001,43100
53002,33340
53036,48020
53105,39540
53105,48580
53114,27500
73801,49260
73901,25100
84301,14940
84304,30860
32401,37460
32439,23020
32501,37860
63735,43460
74003,12780
84501,39220
63821,28380
95001,42100
53502,33820
63901,38740
74331,33060
84714,16260
84720,41100
83201,38540
83211,15420
83301,46300
93601,31460
